CountryId,Target1,Target2,Target3,Target4,Target5,Target6,Target7,Target8,Target9,Target10,Target11,Target12,Target13,Target14,Target15,Target16,Target18,Target19,Target20,Target21,Population2012,IsLDC2014,std_Target1,std_Target2,std_Target3,std_Target4,std_Target5,std_Target6,std_Target7,std_Target8,std_Target9,std_Target10,std_Target11,std_Target12,std_Target13,std_Target14,std_Target15,std_Target16,std_Target18,std_Target19,std_Target20,std_Target21,std_Population2012,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,IsLDC2014_pred
44,0.89,7.946403509,93.16222222,21.37541667,38.43333333,49.28571429,182.1588889,31.77307692,256.615,95.2,4013.919531,1604.459821,984.1227083,34.64,273.2492287,24.76894737,82236.868,74.16666667,47.94579429,1128.067143,371960,0,-0.360566027,2.80E-11,0.789028702,-0.540113506,-0.705584957,-0.674448953,-0.301675663,-0.569049858,-0.21424411,0.716861561,-1.42E-11,-6.28E-11,-9.55E-12,0.076118146,6.83E-11,-0.276888346,-0.276024427,2.440830456,-1.42E-10,-0.281514327,-0.237186795,-1.693241851,-0.36409937,0.112200555,0.946777207,-0.163135642,0.688784812,-0.049177687
48,0.31,7.6,90.74230769,19.375,36.76666667,32.8,15.5,34.39769231,2655.92,99.6,4013.919531,1604.459821,984.1227083,86.55,273.2492287,19.30473684,522792.688,42.72,47.94579429,156.1942857,1317827,0,-0.362821559,-0.051551234,0.605016002,-0.556546395,-0.805751464,-0.74142709,-0.31467415,-0.564164411,-0.188345479,0.956121786,-1.42E-11,-6.28E-11,-9.55E-12,0.076119502,6.83E-11,-0.762464946,-0.258849572,0.228005429,-1.42E-10,-0.287650311,-0.229650213,-1.774532373,-0.356817975,-0.120494358,-0.014739856,-0.042531427,-0.260736705,-0.015508642
50,26.87428571,22.225,73.24461538,145.4,55.76666667,281.3571429,205.6187158,495.5488235,6368.774444,73.46666667,14664.035,1604.459821,984.1227083,68.1345,5.12,33.99894737,24287410.24,29.7,35.98,2273.681429,154695368,1,-0.259517088,2.124918638,-0.725525865,0.478715336,0.336146718,0.268410523,-0.299845924,0.294220296,-0.148268104,-0.464938944,1.476214558,-6.28E-11,-9.55E-12,0.076119021,-0.651936397,0.543334811,0.667602511,-0.68818013,-0.788634733,-0.274281416,0.992448074,1.630307034,1.732615733,-1.310284759,-1.206395008,-0.516035581,-0.670320871,0.408730257
51,49.70714286,3.25,89.54307692,58.62208333,42.2,48.24285714,60.69411765,56.86153846,574.2866667,93.98333333,142.125,1604.459821,984.1227083,126.34,21.58,24.2465,804758.826,32.43333333,31.534,2105.925714,2969081,0,-0.170723576,-0.698911504,0.513825306,-0.234142083,-0.479208651,-0.678685872,-0.311149254,-0.522350305,-0.210815091,0.650702484,-0.536670186,-6.28E-11,-9.55E-12,0.076120542,-0.611915124,-0.323315587,-0.247857259,-0.495842148,-1.081659161,-0.275340552,-0.216493171,-1.459310638,-0.616941355,-0.057792221,-1.177531329,0.030610141,-0.349108563,0.091304393
52,1.84,2.866666667,98.73888889,17.49458333,39.23333333,66.85714286,27.82083333,30.43538462,197.2266667,97.95,4013.919531,1604.459821,984.1227083,38.31666667,273.2492287,22.41263158,91417.272,40.3375,47.94579429,1.614819071,283221,0,-0.356871622,-0.755958577,1.213083963,-0.571993516,-0.657505034,-0.603059778,-0.313713192,-0.571539833,-0.214885161,0.866399202,-1.42E-11,-6.28E-11,-9.55E-12,0.076118242,6.83E-11,-0.486282147,-0.275666533,0.06035473,-1.42E-10,-0.288626259,-0.237893859,-1.95707054,-0.538159572,0.007228984,-0.021307992,0.014173906,-0.242177961,-0.031791617
56,4.615,5,95.33888889,72.82,33.3,8.166666667,8.5,31.53769231,19863.155,99.73333333,4013.919531,799.28,147.7975,28.07555556,273.2492287,18.23105263,3485880.076,26.78833333,47.94579429,2566.812857,11060095,0,-0.346080068,-0.438479212,0.954544593,-0.117509988,-1.014097799,-0.841507363,-0.315220112,-0.569488002,-0.002606766,0.963372096,-1.42E-11,-0.986234319,-1.3342757,0.076117974,6.83E-11,-0.857877801,-0.143335048,-0.893066992,-1.42E-10,-0.272430711,-0.152024708,-2.037155961,-0.523176537,-1.595727649,-0.098774754,0.190459849,-0.527177741,-0.069351118
60,93.60795213,5,87.83333333,14.8975,50.17353434,215.2917163,4050.065155,28.83923077,104.3675,82.01690252,4013.919531,1604.459821,984.1227083,-2912378.87,273.2492287,27.421875,17791.466,6.1,47.94579429,67.84571429,65216,0,6.20E-12,-0.438479212,0.383814709,-0.593327862,7.45E-11,9.66E-11,-2.38E-11,-0.574510907,-0.215887503,2.09E-10,-1.42E-11,-6.28E-11,-9.55E-12,-9.47E-12,6.83E-11,-0.041136161,-0.2785368,-2.348854414,-1.42E-10,-0.288208105,-0.239630903,-0.342856669,-0.637347476,-0.171792631,-1.116873214,0.030278604,-1.023445976,0.229719019
64,9.332857143,8.05,79.00384615,22.56791667,53.3,344.9857143,17.89295833,100.985625,81.88111111,76.9,4013.919531,1604.459821,984.1227083,86.95909091,10.65,27.1505,130446.31,35.16666667,24.958,5410.082857,741822,1,-0.327733039,0.01541707,-0.287588249,-0.530317437,0.187900287,0.526920594,-0.314487512,-0.440217923,-0.216130226,-0.278243465,-1.42E-11,-6.28E-11,-9.55E-12,0.076119513,-0.638490611,-0.065251877,-0.274145005,-0.303504165,-1.515066412,-0.254479538,-0.234239768,0.251414982,-0.530267744,-0.147549848,-1.467171832,-0.295759233,-0.491758947,0.321605767
68,23.15142857,5.8,84.69153846,62.25541667,55.1,286.0857143,254.572015,112.48625,1815.676667,66.81666667,1628.64,1604.459821,984.1227083,266.7,1398.093333,28.986,2265319.084,35.6,47.798,77322.23429,10496285,0,-0.273994714,-0.319424449,0.144909512,-0.20429522,0.296080115,0.287621756,-0.296027832,-0.418810709,-0.197415252,-0.826548147,-0.330624056,-6.28E-11,-9.55E-12,0.076124211,2.734975282,0.097859673,-0.190918026,-0.273011559,-0.009740742,0.199542589,-0.156517095,0.777695572,-0.622833441,0.476200714,0.572610498,0.412990321,-0.102908529,0.299910921
70,5.254,2.466666667,78.38142857,26.68380952,35.43333333,24.34285714,58.1,52.74615385,2671.984444,97.55,4013.919531,1604.459821,984.1227083,-2912378.87,7.53,24.6555,868115.654,30.71111111,47.94579429,190.3142857,3833916,0,-0.343595094,-0.815485959,-0.334917498,-0.496506476,-0.88588467,-0.775786759,-0.311351581,-0.530010664,-0.188172076,0.844648272,-1.42E-11,-6.28E-11,-9.55E-12,-9.47E-12,-0.64607666,-0.286969837,-0.245387324,-0.617030714,-1.42E-10,-0.287434892,-0.209602245,-1.551172189,-0.507945604,-0.09350744,-0.513888549,-0.178451207,-0.596481594,0.042580845
