Country,IsLDC2014,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,predLDC,Population2012
Jamaica,0,-1.374295247,-0.729144171,0.268401749,0.627356768,-0.181835309,-0.038068304,0.019663766,2768941
Japan,0,-2.284144752,4.149342338,6.031683827,-1.605758968,-0.000657168,-0.621252608,0.010435219,127249704
Kazakhstan,0,-1.823565203,-0.127659064,-0.012165476,-0.164958562,-0.025326554,-0.322292185,-0.017577654,16271201
Jordan,0,-1.808474412,-0.578620967,0.032344389,-0.408262441,-0.020779964,-0.454454731,0.008337221,7009444
Kenya,0,3.283947621,-0.110098472,0.19633428,2.268665912,-0.515510266,-0.38625538,0.51772075,43178141
"Korea, Democratic People's Republic of",0,0.2903468,0.75703114,-0.542185919,0.076000051,0.021490658,0.272831739,0.209971414,24734587
"Korea, Republic of",0,-1.921464766,0.153399919,-1.361523196,-0.359596811,1.961903304,2.708633907,-0.05296416,49002683
Kuwait,0,-1.729079838,-0.471765318,0.037863401,-0.036396164,-0.008560307,-0.274097743,-0.002782998,3250496
Kyrgyzstan,0,-1.240470161,-0.421625715,-0.149779636,-1.266445961,-0.061812747,-0.218545124,0.117438136,5474213
Lao People's Democratic Republic,1,1.545029076,-0.549001428,-0.082439457,-1.628247382,0.776390483,1.334270536,0.497392726,6645827
Lebanon,0,-1.510769162,-0.544576074,-0.064399214,-1.151195808,0.986699772,1.352854356,0.08151095,4647079
Lesotho,1,2.256365135,-0.909074603,0.475060815,0.546598034,-0.466574365,-0.092868274,0.497708857,2051545
Latvia,0,-1.661538616,-0.366590578,-0.119647273,-0.423152995,-0.015045592,-0.236929717,0.019940551,2060428
Liberia,1,4.886395828,-1.157588598,0.777599884,0.646359562,0.01146677,-0.004087006,0.841747016,4190435
Libyan Arab Jamahiriya,0,-0.615066127,-0.301383446,-0.135977887,-0.493930507,-0.046704697,-0.701989499,0.155875413,6154623
Liechtenstein,0,-0.208207828,-0.659208515,-0.164613875,-1.191696646,0.06281184,-1.112099201,0.251443735,36656
